first_name,last_name,organization,role_title,sector,persona_type,linkedin_url,company_website,email_if_public,why_relevant
Jeremy,O'Brien,PsiQuantum,CEO & Co-founder,Quantum Computing,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/jeremy-o-brien-39482631/,https://www.psiquantum.com,,Leading photonic quantum computing with distributed architecture requiring coordination infrastructure for quantum networking and AI integration.
Andrew,Shields,Toshiba Europe,VP & GM - Quantum Technology,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/andrew-shields-366b3173/,https://www.toshiba.eu/quantum/,,Leads quantum cryptography division deploying QKD networks requiring coordination infrastructure for quantum-secure communication systems.
Gil,Herrera,National Security Agency,Director of Research,Defense R&D,Defense/National Security,,https://www.nsa.gov,,NSA's lead on quantum computing research since the 1990s; advises on quantum threats to cryptographic systems and coordinates national quantum security initiatives.
Emil,Michael,Department of Defense,Undersecretary of Defense for R&E / CTO / Acting Director DIU,Defense Innovation,Defense/National Security,,https://www.diu.mil,,Pentagon's chief technology strategist overseeing Defense Innovation Unit and coordinating quantum-AI integration across defense technology development.
Travis,Humble,Oak Ridge National Laboratory,Director of Quantum Science Center,Defense R&D,Defense/National Security,https://www.linkedin.com/in/travishumble/,https://quantum.ornl.gov,,Leads DOE's Quantum Science Center; pioneering integration of quantum computing with HPC and AI at national lab scale.
Allyson,O'Brien,DARPA,Program Manager - QuANET,Defense R&D,Defense/National Security,https://www.linkedin.com/in/allysonobrien,https://www.darpa.mil,,Manages DARPA's quantum-augmented network program integrating quantum and classical communications for secure infrastructure.
Joe,Altepeter,DARPA,Program Manager - Quantum Benchmarking Initiative,Defense R&D,Defense/National Security,,https://www.darpa.mil,,Leads DARPA's effort to validate industrially useful quantum computers by 2033; coordinates multi-vendor quantum benchmarking.
Nathaniel,Bastian,DARPA,Program Manager - SABER (AI Security),Defense R&D,Defense/National Security,https://www.linkedin.com/in/nathanielbastian/,https://www.darpa.mil,,Focuses on securing battlefield AI systems against cyber/EW attacks; addresses quantum-AI convergence security challenges.
Matt,Turek,DARPA,Deputy Director - Information Innovation Office,Defense R&D,Defense/National Security,https://www.linkedin.com/in/matthew-turek-0b2b665/,https://www.darpa.mil,,Guides DARPA's AI strategy where 70% of programs now use AI/ML; oversees trustworthy AI development for national security.
Steve,Bowsher,In-Q-Tel,President & CEO,National Security Innovation,Defense/National Security,,https://www.iqt.org,,Leads IC's venture arm investing in quantum and AI startups; bridges commercial innovation to intelligence community needs.
Robin,Blume-Kohout,Sandia National Laboratories,Co-Director - Quantum Performance Laboratory,Defense R&D,Defense/National Security,https://www.linkedin.com/in/robin-blume-kohout-8861286/,https://qpl.sandia.gov,,Pioneering quantum computer benchmarking and performance assessment critical for coordination infrastructure validation.
Bridget,Walshe,Canadian Centre for Cyber Security,Associate Head,National Security Innovation,Defense/National Security,https://www.linkedin.com/in/bridget-walshe-b32a14165/,https://www.cyber.gc.ca,,Leading Canada's post-quantum cryptography roadmap; Five Eyes partner coordinating quantum-safe infrastructure transition.
Tõnis,Saar,NATO CCDCOE,Director,National Security Innovation,Defense/National Security,,https://ccdcoe.org,,Directs NATO's cyber defense center of excellence with 39 nations; coordinates quantum-secure communications for alliance operations.
Ollie,Whitehouse,UK National Cyber Security Centre,Chief Technology Officer,National Security Innovation,Defense/National Security,,https://www.ncsc.gov.uk,,GCHQ's first CTO leading UK's quantum-resistant encryption roadmap by 2035; coordinates Five Eyes quantum security initiatives.
Elizabeth,Kelly,NIST U.S. AI Safety Institute,Director,AI Safety & Standards,Government/Regulatory Agency,https://www.linkedin.com/in/elizabeth-kelly-dc/,https://www.nist.gov/artificial-intelligence-safety-institute,,Leads federal AI safety standards and testing critical for quantum-AI convergence infrastructure coordination.
Lucilla,Sioli,European Commission AI Office,Director,AI Regulation,Government/Regulatory Agency,https://www.linkedin.com/in/lucilla-sioli-b944392/,https://digital-strategy.ec.europa.eu/en/policies/ai-office,,Oversees EU AI Act implementation and international AI governance essential for cross-border quantum-AI systems.
Adam,Beaumont,UK AI Security Institute (AISI),Interim Director,AI Security & Safety,Government/Regulatory Agency,https://www.linkedin.com/in/adam-beaumont-uk/,https://www.aisi.gov.uk,,Former GCHQ AI chief leading national AI security evaluations relevant to quantum-enhanced AI threat modeling.
Lisa,Einstein,CISA,Chief Artificial Intelligence Officer,Cybersecurity & Critical Infrastructure,Government/Regulatory Agency,https://www.linkedin.com/in/lisa-einstein/,https://www.cisa.gov,,Leads AI security for critical infrastructure where quantum-AI convergence poses emerging coordination challenges.
Josephine,Teo,Singapore Ministry of Digital Development,Minister for Digital Development and Information,Government Digital Policy,Government/Regulatory Agency,https://www.linkedin.com/in/josephine-teo-104054184/,https://www.mci.gov.sg,,Oversees Singapore's AI governance framework and Smart Nation initiatives foundational to quantum-AI adoption.
Clara,Chappaz,French Government,State Secretary for AI and Digital Affairs,AI Policy & Innovation,Government/Regulatory Agency,https://fr.linkedin.com/in/clarachappaz,https://www.gouvernement.fr,,France's first AI minister driving national AI strategy where quantum computing integration is emerging priority.
Michael,Kratsios,White House OSTP,Director,Science & Technology Policy,Government/Regulatory Agency,https://www.linkedin.com/in/michaelkratsios/,https://www.whitehouse.gov/ostp/,,Leads U.S. AI Action Plan and federal R&D strategy encompassing quantum-AI convergence technologies.
Karine,Perset,OECD,Acting Head of AI & Emerging Digital Technologies Division,International AI Policy,Government/Regulatory Agency,https://fr.linkedin.com/in/karineperset,https://oecd.ai/,karine.perset@oecd.org,Coordinates global AI policy standards and international collaboration essential for quantum-AI infrastructure alignment.
Stephen,Burt,Treasury Board of Canada Secretariat,Chief Data Officer of Canada,Government Data & AI Policy,Government/Regulatory Agency,https://ca.linkedin.com/in/stephen-burt-199519174,https://www.canada.ca/en/treasury-board-secretariat.html,,Leads Canada's federal AI strategy and data governance frameworks needed for quantum-AI systems integration.
Lucy,Poole,Australian Digital Transformation Agency,Deputy CEO - Digital Strategy Policy and Performance,Government Digital Policy,Government/Regulatory Agency,https://www.linkedin.com/in/lucy-poole-a12b531a/,https://www.dta.gov.au,,Champions Australia's AI assurance framework and responsible AI adoption critical for quantum technology convergence.
Nick,Andersen,CISA,Executive Assistant Director for Cybersecurity,Cybersecurity & Critical Infrastructure,Government/Regulatory Agency,https://www.linkedin.com/in/nmandersen/,https://www.cisa.gov,,Oversees federal cybersecurity including post-quantum cryptography and AI-enhanced threat defense coordination.
Jade,Leung,UK AI Security Institute (AISI),Chief Technology Officer & PM's AI Adviser,AI Security & Governance,Government/Regulatory Agency,https://www.linkedin.com/in/jade-l-2620bb9a/,https://www.aisi.gov.uk,,Leads frontier AI evaluations and advises PM on AI policy where quantum-AI capabilities require new governance models.
Manuela,Veloso,JPMorgan Chase,Head of AI Research,Financial Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/manuela-veloso,https://www.jpmorgan.com,,Leading AI research at one of the world's largest banks with 2000+ AI/ML experts who need coordinated infrastructure for quantum-AI convergence in financial modeling.
Daniel,Marcu,Goldman Sachs,Partner & Global Head of AI Engineering and Science,Financial Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/daniel-marcu,https://www.goldmansachs.com,,Appointed in 2025 to lead Goldman's AI engineering strategy where quantum-AI coordination could transform risk modeling and algorithmic trading at scale.
Neema,Raphael,Goldman Sachs,Chief Data Officer & Head of Data Engineering,Financial Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/neema-raphael,https://www.goldmansachs.com,,Oversees data strategy and emerging technology including digital assets and AI where quantum computing integration will be critical for future infrastructure.
Daniel,Danker,Walmart,EVP AI Acceleration Product and Design,Enterprise Retail AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/daniel-danker,https://corporate.walmart.com,,Leading AI transformation across 2.1M employee enterprise that needs robust coordination infrastructure for AI-driven retail innovation at massive scale.
Berta,Rodriguez-Hervas,Pfizer,Chief AI and Analytics Officer,Pharmaceutical AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/berta-rodriguez-hervas,https://www.pfizer.com,,Former Nvidia AI leader now accelerating drug discovery and clinical development with AI where quantum-AI convergence could revolutionize molecular modeling.
Brian,Kursar,Toyota Motor North America,Group VP & Head of AI,Automotive AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/brian-kursar,https://www.toyota.com,,Leading Toyota's North American AI strategy and Global AI Accelerator where quantum-AI infrastructure is critical for autonomous vehicle development.
Mustafa,Suleyman,Microsoft,EVP & CEO of Microsoft AI,Enterprise AI Platform,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/mustafa-suleyman,https://www.microsoft.com,,DeepMind co-founder leading Microsoft's consumer AI products including Copilot where quantum-AI coordination infrastructure enables next-generation capabilities.
Lan,Guan,Accenture,Chief AI Officer,Professional Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/lan-guan,https://www.accenture.com,,Leading $3B AI initiative across 800K employees and 9K+ clients who need coordination infrastructure for scaling quantum-AI solutions across enterprises.
Dan,Priest,PwC,Chief AI Officer US,Professional Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/dan-priest-pwc,https://www.pwc.com,,Leading $1B AI investment to transform client services and internal operations where quantum-AI coordination could differentiate consulting offerings.
Andrew,Chin,AllianceBernstein,Chief Artificial Intelligence Officer,Asset Management AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/andrewchin17,https://www.alliancebernstein.com,,First CAIO at major asset manager transforming investment research and portfolio management where quantum computing will revolutionize optimization algorithms.
Abhi,Seth,Boeing,Chief Enterprise AI & Data Officer,Aerospace AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/abhi-seth-boeing,https://www.boeing.com,,Deployed GenAI platform to 170K+ employees in aerospace engineering where quantum-AI coordination infrastructure supports complex simulation and design.
Vishal,Talwar,FedEx,EVP Chief Digital and Information Officer,Logistics AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/vishal-talwar-fedex,https://www.fedex.com,,Leading Network 2.0 digital transformation leveraging data and AI to optimize global logistics where quantum-AI infrastructure enables supply chain optimization at scale.
Josh,Wolfe,Lux Capital,Co-Founder & Managing Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/josh-wolfe-7883/,https://www.luxcapital.com,,Invests in frontier science solving vexing puzzles and backs quantum computing infrastructure companies like Rigetti Computing.
Bilal,Zuberi,Lux Capital,General Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/bzuberi/,https://www.luxcapital.com,,Focuses on deep tech and infrastructure solving complex problems in climate and enterprise systems requiring coordination.
Matt,Ocko,DCVC,Co-Founder & Managing Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/mattocko/,https://www.dcvc.com,,Invests across quantum systems from quantum sensing to quantum computers and AI infrastructure for national resilience.
Zachary,Bogue,DCVC,Co-Founder & Managing Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/zackbogue/,https://www.dcvc.com,,Leads deep tech investments at intersection of transformative technology including quantum computing platforms.
Peter,Barrett,Playground Global,Founder & General Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/peter-barrett-1b4b6439/,https://www.playground.vc,,Backs next-generation compute and AI infrastructure underpinning automation across material science and drug discovery.
Pat,Gelsinger,Playground Global,General Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/patgelsinger/,https://www.playground.vc,,Former Intel CEO focused on quantum computing (PsiQuantum) and next-generation chip design for AI era.
Dror,Berman,Innovation Endeavors,Founder & Managing Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/drorberman/,https://www.innovationendeavors.com,,Led investments in Atom Computing (quantum) and backs founders leveraging data and compute for exponential change.
Anjney,Midha,Andreessen Horowitz,General Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/anjney/,https://a16z.com,,Invests in AI infrastructure and open source technology with focus on hardware evolution for AI inference workloads.
Martin,Casado,Andreessen Horowitz,General Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/martincasado/,https://a16z.com,,Leads a16z's $1.25B infrastructure practice and pioneered software-defined networking paradigm shifts.
Jennifer,Li,Andreessen Horowitz,General Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/jenniferhli/,https://a16z.com,,Focuses on enterprise infrastructure in data systems and AI requiring coordination across distributed architectures.
Shaun,Maguire,Sequoia Capital,Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/shaun-maguire-c/,https://www.sequoiacap.com,,PhD in quantum physics from Caltech and invested in IonQ and Quantum Circuits advancing quantum-AI convergence.
Sunil,Dhaliwal,Amplify Partners,Founder & General Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/sunildhaliwal/,https://www.amplifypartners.com,,Backs technical founders building distributed systems and data infrastructure with unique insights into coordination challenges.
Helen,Toner,Center for Security and Emerging Technology (CSET),Interim Executive Director,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/helen-toner-4162439a/,https://cset.georgetown.edu,,Leads CSET's research on AI policy and strategy with expertise in advising policymakers on emerging technology governance and national security implications.
Dewey,Murdick,Center for Security and Emerging Technology (CSET),Executive Director,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/murdick,https://cset.georgetown.edu,,Directs CSET's AI policy research and emerging technology analysis with background as former DHS Chief Analytics Officer specializing in technology foresight.
Elham,Tabassi,Brookings Institution,Director of AI & Emerging Technology Initiative and Senior Fellow,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/elham-tabassi-b5931b6/,https://www.brookings.edu,,Led NIST's AI Risk Management Framework and now shapes policy research on AI governance and quantum-AI convergence at global scale.
Salil,Gunashekar,RAND Europe,Senior Research Leader and Deputy Director Science & Emerging Technology,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/salilgunashekar/,https://www.rand.org,,Leads RAND's Quantum Technology Observatory for Policy and Society (QTOPS) examining quantum skills talent supply chains and technology governance frameworks.
Edward,Parker,RAND Corporation,Senior Physical Scientist,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/edward-parker-753b77159/,https://www.rand.org,,Researches quantum technology policy and U.S.-China quantum competition with expertise in quantum computing applications and post-quantum cryptography preparedness.
Vivek,Chilukuri,Center for a New American Security (CNAS),Director and Senior Fellow Technology & National Security Program,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/vivekchil/,https://www.cnas.org,,Leads CNAS program on accelerating U.S. leadership in AI quantum and biotechnology while addressing technology competition and critical infrastructure security.
Constanza,Vidal Bustamante,Center for a New American Security (CNAS),Fellow Technology & National Security Program,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/constanzavidal/,https://www.cnas.org,,Directs CNAS quantum technology policy portfolio investigating quantum's role in national security and policy solutions to advance U.S. quantum innovation.
Janet,Egan,Center for a New American Security (CNAS),Senior Fellow and Deputy Director Technology & National Security Program,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/janet-egan-a8a066127/,https://www.cnas.org,,Researches national security implications of AI and emerging technologies including compute governance for advanced AI systems coordination.
Graham,Brookie,Atlantic Council,Vice President Technology Programs and Senior Director DFRLab,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/gbrookie/,https://www.atlanticcouncil.org,,Oversees Atlantic Council's technology programs examining intersection of governance technology security and AI's role in global digital infrastructure.
Doreen,Bogdan-Martin,International Telecommunication Union (ITU),Secretary-General,Standards Development,Standards Body,https://ch.linkedin.com/in/doreentbogdan,https://www.itu.int,,First woman ITU Secretary-General leading international standards for AI quantum and telecommunications requiring coordination infrastructure for technology convergence.
Wael,Diab,ISO/IEC JTC 1/SC 42,Chair Artificial Intelligence Standards Committee,Standards Development,Standards Body,https://www.linkedin.com/in/wdiab/,https://www.iso.org,,Chairs international AI standardization committee developing interoperability standards critical for quantum-AI convergence and cross-border coordination frameworks.
Martin,Ward,ETSI ISG QKD,Chair Quantum Key Distribution Industry Specification Group,Standards Development,Standards Body,https://www.linkedin.com/in/martin-ward-toshiba/,https://www.etsi.org,,Leads ETSI quantum key distribution standards development ensuring secure quantum communication networks enabling quantum-AI infrastructure coordination.
