first_name,last_name,organization,role_title,sector,persona_type,linkedin_url,company_website,email_if_public,why_relevant,recent_activity,strategic_problem,persona_bridge,problem_frame,ice_breaker,priority_tier,priority_score
Shaun,Maguire,Sequoia Capital,Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/shaun-maguire-c/,https://www.sequoiacap.com,,PhD in quantum physics from Caltech and invested in IonQ and Quantum Circuits advancing quantum-AI convergence.,"Quantum physics PhD Caltech; led IonQ Series A at GV before Sequoia; invests in quantum computing platforms; manages Sequoia investments in SpaceX, xAI",Investing in quantum computing (IonQ from GV days) while managing Sequoia's positions in cutting-edge AI and space companies,Hybrid quantum-classical coordination layer,Coordinate your quantum computing investments with AI companies (xAI) via hybrid orchestration enabling quantum-enhanced training and inference,Your quantum physics PhD sees convergence—InfraFabric coordinates your IonQ and xAI investments with hybrid quantum-AI orchestration spanning both domains,B,91
Jonathan,Ross,Groq,CEO & Founder,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/ross-jonathan,https://groq.com,,Created LPU inference architecture requiring ultra-low latency coordination that quantum-AI convergence infrastructure could optimize.,$1.5B Saudi Arabia agreement Feb 2025 (built cluster in 8 days); raised $750M Sept 2025 at $6.9B valuation; targeting 50% of global AI inference by end of 2027; deploying 1.7M LPU processors,Capturing 50% of global inference market by 2027 requires revolutionary low-latency coordination across 1.7M+ LPUs without external memory bottlenecks,Distributed quantum network management,Eliminate inference latency bottlenecks by coordinating LPU clusters via quantum entanglement channels that bypass classical memory hierarchy limits,Your LPU on-chip memory eliminates one bottleneck—InfraFabric eliminates the next by coordinating distributed LPUs via quantum channels faster than classical interconnects,A,90
Travis,Humble,Oak Ridge National Laboratory,Director of Quantum Science Center,Defense R&D,Defense/National Security,https://www.linkedin.com/in/travishumble/,https://quantum.ornl.gov,,Leads DOE's Quantum Science Center; pioneering integration of quantum computing with HPC and AI at national lab scale.,IQM Radiance 20-qubit integration Aug 2025; Quantum Brilliance hybrid HPC Sept 2025; Riverlane QEC deployment Sept 2025; R&D100 Award for MAQ (ML on quantum); pioneering quantum-HPC-AI integration,Integrating quantum computing with leadership-class HPC systems to create next-generation hybrid quantum-classical supercomputers for national security and science,Hybrid quantum-classical coordination layer,Coordinate Oak Ridge's quantum computers with Frontier exascale system via unified orchestration that treats quantum accelerators as first-class HPC resources,Your quantum-HPC integration pioneered hybrid supercomputing—InfraFabric extends that with orchestration that treats quantum as native HPC accelerators,A,90
Sachin,Katti,Intel,CTO & Head of AI,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/sachin-katti-72777943,https://www.intel.com,,Leads Intel's overall AI strategy and product roadmap including AI systems that will interface with quantum computing infrastructure.,Appointed Intel CTO & AI Chief April 2025 under CEO Lip-Bu Tan; tasked with coherent AI strategy after Gaudi struggles and Falcon Shores cancellation; leading Intel Labs and startup ecosystem relationships,Defining coherent AI accelerator strategy to compete with NVIDIA/AMD dominance after missing Gaudi targets and lacking software ease-of-use at scale,Hybrid quantum-classical coordination layer,Differentiate Intel's AI portfolio by pioneering quantum-classical hybrid systems that leverage photonics and networking IP competitors lack,Your quantum+AI mandate gives Intel fresh differentiation—InfraFabric coordinates hybrid workloads leveraging Intel's photonics and networking strengths NVIDIA can't match,A,89
Gil,Herrera,National Security Agency,Director of Research,Defense R&D,Defense/National Security,,https://www.nsa.gov,,NSA's lead on quantum computing research since the 1990s; advises on quantum threats to cryptographic systems and coordinates national quantum security initiatives.,"Keynoted 2025 Defense R&D Summit Jan 2025 on quantum computing threats; highlighted Google's break-even logical qubit 2024; warned ""black swan"" quantum breakthrough could ""wreck world economy""; leading NSA post-quantum cryptography transition","Preventing catastrophic ""black swan"" quantum breakthrough from breaking encryption protecting financial systems, nuclear command-and-control, and government networks",Post-quantum cryptography integration,Orchestrate national post-quantum cryptography transition while monitoring quantum computing advances to ensure encryption stays ahead of adversary capabilities,Your black swan scenario demands proactive architecture—InfraFabric coordinates PQC transition and quantum monitoring to ensure defenses stay ahead of threats,B,89
Daniel,Marcu,Goldman Sachs,Partner & Global Head of AI Engineering and Science,Financial Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/daniel-marcu,https://www.goldmansachs.com,,Appointed in 2025 to lead Goldman's AI engineering strategy where quantum-AI coordination could transform risk modeling and algorithmic trading at scale.,Appointed Global Head of AI Engineering & Science 2025; leading Goldman's AI engineering transformation; driving AI strategy across risk modeling and algorithmic trading,Scaling AI engineering across Goldman Sachs' trading and risk platforms while preparing for quantum computing's impact on optimization and security,Hybrid quantum-classical coordination layer,Coordinate Goldman's AI engineering with quantum-enhanced optimization for algorithmic trading and risk modeling that outperforms classical-only approaches,Your 2025 AI mandate needs quantum edge—InfraFabric coordinates hybrid quantum-classical optimization for trading algorithms that outperform classical limits,A,89
Matt,Ocko,DCVC,Co-Founder & Managing Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/mattocko/,https://www.dcvc.com,,Invests across quantum systems from quantum sensing to quantum computers and AI infrastructure for national resilience.,"DCVC invests across quantum sensing, quantum computing, and AI infrastructure; focus on national resilience and deep tech commercialization",Building quantum computing and AI portfolio that strengthens national resilience while commercializing deep tech for defense and enterprise,Multi-stakeholder quantum-AI governance framework,Coordinate your quantum and AI portfolio companies with unified integration framework accelerating commercialization and national resilience deployment,Your quantum+AI portfolio needs integration—InfraFabric coordinates your investments with unified framework accelerating deep tech commercialization and deployment,B,89
Bill,Dally,NVIDIA,Chief Scientist & SVP of Research,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/billdally,https://www.nvidia.com,,Leads NVIDIA's research efforts in AI architecture and compute systems that will need to integrate with future quantum computing paradigms.,Hot Chips 2024 keynote on energy-efficient AI (100 TOPS/watt test chip); published on sparsity and optical interconnects; received 2025 Queen Elizabeth Prize and Benjamin Franklin Medal,Energy efficiency and interconnect bandwidth for next-generation AI: achieving 100+ TOPS/watt while enabling high-speed GPU-to-GPU communication at scale,Hybrid quantum-classical coordination layer,Bridge classical AI acceleration and quantum computing through shared interconnect architectures that maximize performance per watt,Your optical interconnect research opens quantum channels—InfraFabric coordinates photonic and electronic fabrics for the hybrid systems you're designing,A,88
Niccolo,de Masi,IonQ,President & CEO,Quantum Computing,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/niccolo-de-masi-25929914/,https://ionq.com,,Leads company expanding into quantum networking through acquisitions requiring integrated coordination between quantum systems and AI workflows.,"Appointed CEO Feb 2025, promoted to Chairman Aug 2025; acquired Qubitekk, IDQ, Lightsynq, Capella Space (space QKD), and proposed $1.075B Oxford Ionics; created ""most advanced quantum computing+networking roadmap""",Executing aggressive acquisition strategy (6 companies) to build integrated quantum computing and networking powerhouse while competing with pure-play quantum computer vendors,Hybrid quantum-classical coordination layer,Coordinate IonQ's multi-vendor quantum ecosystem (computing + networking + sensing + space QKD) with AI workflows in enterprise-deployable control plane,"Your acquisition spree created the quantum portfolio—InfraFabric creates the orchestration layer that makes your computing, networking, and sensing assets work together",A,88
Lan,Guan,Accenture,Chief AI Officer,Professional Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/lan-guan,https://www.accenture.com,,Leading $3B AI initiative across 800K employees and 9K+ clients who need coordination infrastructure for scaling quantum-AI solutions across enterprises.,"Leading Accenture's $3B AI initiative; coordinating AI transformation across 800K employees; deploying AI solutions for 9,000+ clients globally","Scaling AI transformation across 9,000+ clients while preparing consulting offerings for quantum-AI convergence that differentiates from competitors",Multi-stakeholder quantum-AI governance framework,"Coordinate Accenture's 9,000+ client AI deployments with quantum-ready architecture enabling future quantum-AI upgrade without client rearchitecture","Your 9,000-client scale needs quantum readiness—InfraFabric coordinates deployments with quantum-ready architecture enabling seamless future quantum augmentation",A,88
Pat,Gelsinger,Playground Global,General Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/patgelsinger/,https://www.playground.vc,,Former Intel CEO focused on quantum computing (PsiQuantum) and next-generation chip design for AI era.,Former Intel CEO now Playground GP; PsiQuantum investor; focused on quantum computing and next-gen chip design for AI era,Investing in quantum computing (PsiQuantum) and next-gen chips while leveraging decades of semiconductor and compute architecture experience,Hybrid quantum-classical coordination layer,Coordinate your PsiQuantum investment with hybrid quantum-classical orchestration that integrates photonic quantum computers with classical AI accelerators,Your PsiQuantum bet needs hybrid integration—InfraFabric coordinates photonic quantum with classical AI accelerators leveraging your semiconductor architecture expertise,B,88
Andrew,Feldman,Cerebras Systems,Co-Founder & CEO,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/andrewdfeldman,https://www.cerebras.ai,,Builds world's largest AI chips and needs coordination infrastructure to scale AI systems toward quantum-AI hybrid architectures.,"Launched CS-3/WSE-3 (2x CS-2 performance) 2024; Meta Llama API partnership April 2025 (18x faster inference); beat Blackwell on Llama 4 at 2,500 tokens/sec; raised $1.1B Sept 2025 at $8.1B valuation; expanded to 6 datacenters (40M tokens/sec)",Scaling inference performance to 40M+ tokens/sec across distributed datacenters while competing against NVIDIA's GPU ecosystem and proving wafer-scale differentiation,Distributed quantum network management,Coordinate wafer-scale AI inference across geo-distributed datacenters using quantum networking for sub-millisecond coherence and global state synchronization,Your wafer-scale architecture pioneered unified compute—InfraFabric extends that vision with quantum networking to synchronize distributed CS-3 clusters at light speed,A,87
Neema,Raphael,Goldman Sachs,Chief Data Officer & Head of Data Engineering,Financial Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/neema-raphael,https://www.goldmansachs.com,,Oversees data strategy and emerging technology including digital assets and AI where quantum computing integration will be critical for future infrastructure.,Leading Goldman Sachs data strategy; overseeing digital assets and emerging technology initiatives; coordinating data engineering for AI and quantum readiness,Building data infrastructure for digital assets and AI while preparing for quantum computing's impact on cryptography securing financial transactions,Post-quantum cryptography integration,Secure Goldman's data infrastructure with post-quantum cryptography while orchestrating quantum-enhanced data analytics for digital assets trading,Your digital assets need quantum-safe infrastructure—InfraFabric secures data with PQC while coordinating quantum-enhanced analytics for trading edge,A,87
Josh,Wolfe,Lux Capital,Co-Founder & Managing Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/josh-wolfe-7883/,https://www.luxcapital.com,,Invests in frontier science solving vexing puzzles and backs quantum computing infrastructure companies like Rigetti Computing.,"$100M+ biotech/AI commitment 2025 offsetting Trump research cuts; board member at Anduril, Planet, Hadrian, Osmo; founding investor with Bill Gates in Kymeta satellite antennas",Identifying frontier science investments at physical-digital intersection while backing quantum computing and space communication infrastructure,Distributed quantum network management,Coordinate your space communications portfolio (Kymeta) with quantum networking that enables secure global satellite communications beyond classical encryption,Your Kymeta investment pioneered space comms—InfraFabric extends that with quantum networking for secure global satellite communications beyond classical limits,B,87
Grégoire,Ribordy,ID Quantique (IonQ),CEO & Co-founder,Quantum Cryptography,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/gregoire-ribordy/,https://www.idquantique.com,,Leads pioneer in QKD solutions now part of IonQ's quantum networking ecosystem requiring coordination infrastructure for quantum-AI integration.,"IonQ completed IDQ acquisition May 2025; added 300 patents (900 total for IonQ); integrated QKD, QRNGs, single-photon detectors; Singapore/Turkey intercontinental QKD deployments",Integrating 20+ years of QKD deployment experience into IonQ's quantum computing ecosystem to build unified quantum networking infrastructure,Distributed quantum network management,Orchestrate end-to-end quantum networks that unify your QKD security fabric with IonQ's quantum computers and AI inference workloads,Your QKD deployments secure the channel—InfraFabric orchestrates the entire quantum network from your secure links to IonQ's quantum computers,A,86
Berta,Rodriguez-Hervas,Pfizer,Chief AI and Analytics Officer,Pharmaceutical AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/berta-rodriguez-hervas,https://www.pfizer.com,,Former Nvidia AI leader now accelerating drug discovery and clinical development with AI where quantum-AI convergence could revolutionize molecular modeling.,Former NVIDIA VP of Healthcare AI; appointed Pfizer Chief AI Officer; accelerating drug discovery and clinical development with AI-driven molecular modeling,Accelerating drug discovery with AI-driven molecular modeling while preparing for quantum computing's transformative impact on pharmaceutical research,Hybrid quantum-classical coordination layer,Coordinate Pfizer's AI drug discovery with quantum-enhanced molecular modeling that simulates interactions classical computers cannot handle,Your NVIDIA background knows AI limits—InfraFabric coordinates hybrid quantum-classical drug discovery simulating molecular interactions beyond classical reach,A,86
Zachary,Bogue,DCVC,Co-Founder & Managing Partner,Deep Tech VC,VC/Infrastructure Investor,https://www.linkedin.com/in/zackbogue/,https://www.dcvc.com,,Leads deep tech investments at intersection of transformative technology including quantum computing platforms.,DCVC deep tech investments in quantum computing platforms; focused on transformative technology commercialization,Investing in quantum computing platforms while building portfolio at intersection of transformative technologies requiring sophisticated coordination,Hybrid quantum-classical coordination layer,Coordinate DCVC's quantum computing investments with hybrid quantum-classical orchestration framework that accelerates portfolio company integration,Your quantum platform investments need hybrid coordination—InfraFabric orchestrates your portfolio with quantum-classical integration accelerating commercialization,B,86
Elham,Tabassi,Brookings Institution,Director of AI & Emerging Technology Initiative and Senior Fellow,Tech Policy Research,Think Tank/Research Institute,https://www.linkedin.com/in/elham-tabassi-b5931b6/,https://www.brookings.edu,,Led NIST's AI Risk Management Framework and now shapes policy research on AI governance and quantum-AI convergence at global scale.,Joined Brookings March 2025 as AIET Director; led NIST AI Risk Management Framework (Jan 2023); co-authored GenAI Profile 2024; TIME 100 AI 2023,Extending NIST AI Risk Management Framework to global AI governance while researching quantum-AI convergence risk assessment,Multi-stakeholder quantum-AI governance framework,Extend your AI Risk Management Framework to quantum-AI systems with unified risk assessment spanning classical and quantum-enhanced AI,Your AI RMF sets global standard—InfraFabric extends that framework to quantum-AI with unified risk assessment for hybrid systems,B,86
Sid,Sheth,d-Matrix,Founder & CEO,AI Infrastructure,AI Infrastructure Company,https://linkedin.com/in/sheth,https://www.d-matrix.ai,,Building AI inference compute platform that requires sophisticated coordination infrastructure for quantum-AI hybrid systems.,Launched Corsair platform Nov 2024 at SC24 (DIMC architecture for inference); sampling to customers with Q2 2025 GA; SuperMicro partnership; $160M+ funding including Microsoft; Cerebral Valley Deep Dive on DIMC vs GPUs,Making inference most energy-efficient workload via Digital In-Memory Compute while building business that captures inference opportunity without GPU/HBM dependencies,Quantum-safe AI infrastructure orchestration,Optimize DIMC inference efficiency by orchestrating quantum preprocessing for feature extraction that feeds d-Matrix accelerators in hybrid pipelines,Your DIMC architecture eliminates GPU inefficiency—InfraFabric eliminates the next layer by orchestrating quantum preprocessing that feeds Corsair at peak efficiency,A,85
Steve,Bowsher,In-Q-Tel,President & CEO,National Security Innovation,Defense/National Security,,https://www.iqt.org,,Leads IC's venture arm investing in quantum and AI startups; bridges commercial innovation to intelligence community needs.,Leading In-Q-Tel investments in quantum and AI startups for intelligence community; bridging commercial innovation to IC operational needs; coordinating quantum-AI technology transition,Accelerating commercial quantum and AI technology transition to intelligence community while managing portfolio of startups across both domains,Multi-stakeholder quantum-AI governance framework,Coordinate In-Q-Tel's quantum and AI portfolio companies with unified integration framework that accelerates IC technology transition,Your portfolio spans quantum and AI startups—InfraFabric coordinates their integration into IC operations with unified orchestration framework,B,85
Dan,Priest,PwC,Chief AI Officer US,Professional Services AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/dan-priest-pwc,https://www.pwc.com,,Leading $1B AI investment to transform client services and internal operations where quantum-AI coordination could differentiate consulting offerings.,Leading PwC's $1B AI investment; transforming client services and internal operations with AI; positioning PwC as AI-powered consulting leader,Investing $1B in AI transformation while preparing quantum-AI consulting services that differentiate PwC from Big 4 competitors,Multi-stakeholder quantum-AI governance framework,Coordinate PwC's $1B AI investment with quantum-AI readiness that differentiates consulting offerings before competitors develop quantum capabilities,Your $1B AI investment needs quantum differentiation—InfraFabric coordinates quantum-ready architecture positioning PwC ahead of Big 4 in quantum-AI consulting,A,85
Martin,Casado,Andreessen Horowitz,General Partner,Infrastructure VC,VC/Infrastructure Investor,https://www.linkedin.com/in/martincasado/,https://a16z.com,,Leads a16z's $1.25B infrastructure practice and pioneered software-defined networking paradigm shifts.,Leads a16z $1.25B infrastructure practice; pioneered software-defined networking; focused on networking paradigm shifts,Investing in infrastructure paradigm shifts while leveraging SDN expertise to identify next-generation networking opportunities,Distributed quantum network management,Coordinate quantum networks with software-defined orchestration extending your SDN paradigm to quantum networking layer,Your SDN vision pioneered programmable networks—InfraFabric extends that paradigm to quantum networking with software-defined quantum orchestration,B,85
Jordan,Shapiro,IonQ,President & GM - Quantum Networking,Quantum Networking,Quantum Networking/Cryptography Vendor,https://www.linkedin.com/in/jordandavidshapiro/,https://ionq.com,,Oversees IonQ's quantum networking division building critical quantum internet infrastructure that needs AI-quantum coordination capabilities.,Appointed President & GM Quantum Networking May 2025 (from VP FP&A); spearheaded Qubitekk and IDQ acquisitions; Stanford engineering degrees; guiding quantum internet technical roadmap,"Building quantum internet architecture that integrates recent acquisitions (Qubitekk, IDQ) into cohesive quantum networking business serving computing and security markets",Distributed quantum network management,"Architect the quantum internet by orchestrating diverse quantum networking technologies (QKD, entanglement distribution, quantum computing connectivity) in unified control plane",Your quantum internet roadmap spans computing and security—InfraFabric provides the unified orchestration layer that makes your acquired technologies work as one,A,84
Elizabeth,Kelly,NIST U.S. AI Safety Institute,Director,AI Safety & Standards,Government/Regulatory Agency,https://www.linkedin.com/in/elizabeth-kelly-dc/,https://www.nist.gov/artificial-intelligence-safety-institute,,Leads federal AI safety standards and testing critical for quantum-AI convergence infrastructure coordination.,Signed Anthropic and OpenAI AI safety agreements Aug 2024; building U.S. capacity to test frontier AI models pre-deployment; CSIS keynote July 2024; coordinating with UK/Japan AI Safety Institutes,Testing frontier AI models pre-deployment while coordinating international AI safety standards with allies and developing quantum-AI convergence safety frameworks,Multi-stakeholder quantum-AI governance framework,Extend AI Safety Institute testing to quantum-enhanced AI systems with unified safety framework spanning both classical and quantum-hybrid models,Your frontier AI testing needs quantum extension—InfraFabric provides unified safety framework for testing quantum-enhanced AI models with your established protocols,B,84
Brian,Kursar,Toyota Motor North America,Group VP & Head of AI,Automotive AI,Fortune-500/Enterprise AI Leader,https://www.linkedin.com/in/brian-kursar,https://www.toyota.com,,Leading Toyota's North American AI strategy and Global AI Accelerator where quantum-AI infrastructure is critical for autonomous vehicle development.,Leading Toyota's North American AI strategy; heading Global AI Accelerator; advancing autonomous vehicle AI requiring real-time coordination at scale,"Developing autonomous vehicle AI that requires real-time sensor fusion, path planning, and coordination across vehicle fleets at Toyota scale",Distributed quantum network management,Coordinate Toyota's autonomous vehicle fleet with quantum-enhanced communication enabling real-time sensor fusion and path planning beyond classical latency limits,Your autonomous vehicles need real-time coordination—InfraFabric uses quantum communication for fleet orchestration with sensor fusion faster than classical networks,A,84
Allyson,O'Brien,DARPA,Program Manager - QuANET,Defense R&D,Defense/National Security,https://www.linkedin.com/in/allysonobrien,https://www.darpa.mil,,Manages DARPA's quantum-augmented network program integrating quantum and classical communications for secure infrastructure.,Managing QuANET program integrating quantum and classical communications; developing quantum-augmented networks for secure military communications; coordinating multi-vendor quantum networking research,Integrating quantum and classical communications in quantum-augmented networks that provide secure military communications without requiring full quantum internet infrastructure,Distributed quantum network management,Orchestrate QuANET's quantum-augmented networks to seamlessly integrate quantum security channels with existing classical military communication infrastructure,Your QuANET vision augments classical networks with quantum—InfraFabric orchestrates that integration so quantum security deploys without replacing existing infrastructure,A,83
